MIDI note,Note (english),Note (german),Frequency,Convert
top,G#9/Ab9,gis’’’’’’/ges’’’’’’,13289.75,
127,G9,g’’’’’’,12543.85,g9
126,F#9/Gb9,fis’’’’’’/ges’’’’’’,11839.82,
125,F9,f’’’’’’,11175.3,f9
124,E9,e’’’’’’,10548.08,e9
123,D#9/Eb9,dis’’’’’’/es’’’’’’,9956.06,
122,D9,d’’’’’’,9397.27,d9
121,C#9/Db9,cis’’’’’’/des’’’’’’,8869.84,
120,C9,c’’’’’’,8372.02,c9
119,B8,h’’’’’,7902.13,h8
118,A#8/Bb8,ais’’’’’/b’’’’’,7458.62,b8
117,A8,a’’’’’,7040,a8
116,G#8/Ab8,gis’’’’’/ges’’’’’,6644.88,
115,G8,g’’’’’,6271.93,g8
114,F#8/Gb8,fis’’’’’/ges’’’’’,5919.91,
113,F8,f’’’’’,5587.65,f8
112,E8,e’’’’’,5274.04,e8
111,D#8/Eb8,dis’’’’’/es’’’’’,4978.03,
110,D8,d’’’’’,4698.64,d8
109,C#8/Db8,cis’’’’’/des’’’’’,4434.92,
108,C8,c’’’’’,4186.01,c8
107,B7,h’’’’,3951.07,h7
106,A#7/Bb7,ais’’’’/b’’’’,3729.31,b7
105,A7,a’’’’,3520,a7
104,G#7/Ab7,gis’’’’/ges’’’’,3322.44,
103,G7,g’’’’,3135.96,g7
102,F#7/Gb7,fis’’’’/ges’’’’,2959.96,
101,F7,f’’’’,2793.83,f7
100,E7,e’’’’,2637.02,e7
99,D#7/Eb7,dis’’’’/es’’’’,2489.02,
98,D7,d’’’’,2349.32,d7
97,C#7/Db7,cis’’’’/des’’’’,2217.46,
96,C7,c’’’’,2093,c7
95,B6,h’’’,1975.53,h6
94,A#6/Bb6,ais’’’/b’’’,1864.66,b6
93,A6,a’’’,1760,a6
92,G#6/Ab6,gis’’’/as’’’,1661.22,
91,G6,g’’’,1567.98,g6
90,F#6/Gb6,fis’’’/ges’’’,1479.98,
89,F6,f’’’,1396.91,f6
88,E6,e’’’,1318.51,e6
87,D#6/Eb6,dis’’’/es’’’,1244.51,
86,D6,d’’’,1174.66,d6
85,C#6/Db6,cis’’’/des’’’,1108.73,
84,C6,c’’’,1046.5,c6
83,B5,h’’,987.77,h5
82,A#5/Bb5,ais’’/b’’,932.33,b5
81,A5,a’’,880,a5
80,G#5/Ab5,gis’’/as’’,830.61,
79,G5,g’’,783.99,g5
78,F#5/Gb5,fis’’/ges’’,739.99,
77,F5,f’’,698.46,f5
76,E5,e’’,659.26,e5
75,D#5/Eb5,dis’’/es’’,622.25,
74,D5,d’’,587.33,d5
73,C#5/Db5,cis’’/des’’,554.37,
72,C5,c’’,523.25,c5
71,B4,h’,493.88,h4
70,A#4/Bb4,ais’/b’,466.16,b4
69,A4,a’,440,a4
68,G#4/Ab4,gis’/as’,415.3,
67,G4,g’,392,g4
66,F#4/Gb4,fis’/ges’,369.99,
65,F4,f’,349.23,f4
64,E4,e’,329.63,e4
63,D#4/Eb4,dis’/es’,311.13,
62,D4,d’,293.66,d4
61,C#4/Db4,cis’/des’,277.18,
60,C4,c’,261.63,c4
59,B3,h,246.94,h3
58,A#3/Bb3,ais/b,233.08,b3
57,A3,a,220,a3
56,G#3/Ab3,gis/as,207.65,
55,G3,g,196,g3
54,F#3/Gb3,fis/ges,185,
53,F3,f,174.61,f3
52,E3,e,164.81,e3
51,D#3/Eb3,dis/es,155.56,
50,D3,d,146.83,d3
49,C#3/Db3,cis/des,138.59,
48,C3,c,130.81,c3
47,B2,H,123.47,h2
46,A#2/Bb2,Ais/B,116.54,b2
45,A2,A,110,a2
44,G#2/Ab2,Gis/As,103.83,
43,G2,G,98,g2
42,F#2/Gb2,Fis/Ges,92.5,
41,F2,F,87.31,f2
40,E2,E,82.41,e2
39,D#2/Eb2,Dis/Es,77.78,
38,D2,D,73.42,d2
37,C#2/Db2,Cis/Des,69.3,
36,C2,C,65.41,c2
35,B1,H1,61.74,h1
34,A#1/Bb1,Ais1/b1,58.27,b1
33,A1,A1,55,a1
32,G#1/Ab1,Gis1/As1,51.91,
31,G1,G1,49,g1
30,F#1/Gb1,Fis1/Ges1,46.25,
29,F1,F1,43.65,f1
28,E1,E1,41.2,e1
27,D#1/Eb1,Dis1/Es1,38.89,
26,D1,D1,36.71,d1
25,C#1/Db1,Cis1/Des1,34.65,
24,C1,C1,32.7,c1
23,B0,H2,30.87,
22,A#0/Bb0,Ais2/B2,29.14,
21,A0,A2,27.5,
20,,,25.96,
19,,,24.5,
18,,,23.12,
17,,,21.83,
16,,,20.6,
15,,,19.45,
14,,,18.35,
13,,,17.32,
12,,,16.35,
11,,,15.43,
10,,,14.57,
9,,,13.75,
8,,,12.98,
7,,,12.25,
6,,,11.56,
5,,,10.91,
4,,,10.3,
3,,,9.72,
2,,,9.18,
1,,,8.66,
0,,,8.18,